PassengerId,Survived,Pclass,Age,Fare,GroupSize,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,AgeGroup_Teenager,AgeGroup_Young Adult,AgeGroup_Adult,AgeGroup_Senior,FareBand_Medium,FareBand_High,FareBand_Very High,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
1,0.0,3,22.0,7.25,1,2,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1.0,1,38.0,71.2833,2,2,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
3,1.0,3,26.0,7.925,1,1,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
4,1.0,1,35.0,53.1,2,2,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
5,0.0,3,35.0,8.05,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
6,0.0,3,25.0,8.4583,1,1,1,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
7,0.0,1,54.0,51.8625,2,1,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
8,0.0,3,2.0,21.075,5,5,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
9,1.0,3,27.0,11.1333,3,3,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
10,1.0,2,14.0,30.0708,2,2,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
11,1.0,3,4.0,16.7,3,3,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
12,1.0,1,58.0,26.55,1,1,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
13,0.0,3,20.0,8.05,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
14,0.0,3,39.0,31.275,7,7,0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
15,0.0,3,14.0,7.8542,1,1,1,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,1.0,2,55.0,16.0,1,1,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
17,0.0,3,2.0,29.125,6,6,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18,1.0,2,29.5,13.0,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
19,0.0,3,31.0,18.0,2,2,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
20,1.0,3,22.0,7.225,1,1,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
21,0.0,2,35.0,26.0,2,1,1,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
22,1.0,2,34.0,13.0,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
23,1.0,3,15.0,8.0292,1,1,1,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
24,1.0,1,28.0,35.5,1,1,1,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0.0,3,8.0,21.075,5,5,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
26,1.0,3,38.0,31.3875,7,7,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
27,0.0,3,25.0,7.225,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
28,0.0,1,19.0,263.0,6,6,0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
29,1.0,3,22.0,7.8792,1,1,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
30,0.0,3,25.0,7.8958,1,1,1,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
31,0.0,1,40.0,27.7208,1,1,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
32,1.0,1,36.0,146.5208,3,2,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
33,1.0,3,22.0,7.75,1,1,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
34,0.0,2,66.0,10.5,1,1,1,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
35,0.0,1,28.0,82.1708,2,2,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
36,0.0,1,42.0,52.0,2,2,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
37,1.0,3,25.0,7.2292,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
38,0.0,3,21.0,8.05,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
39,0.0,3,18.0,18.0,2,3,0,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
40,1.0,3,14.0,11.2417,2,2,0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
41,0.0,3,40.0,9.475,1,2,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
42,0.0,2,27.0,21.0,2,2,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
43,0.0,3,25.0,7.8958,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
44,1.0,2,3.0,41.5792,4,4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
45,1.0,3,19.0,7.8792,1,1,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
46,0.0,3,25.0,8.05,1,1,1,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
47,0.0,3,25.0,15.5,2,2,0,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
48,1.0,3,22.0,7.75,1,1,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
49,0.0,3,25.0,21.6792,3,3,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
50,0.0,3,18.0,17.8,2,2,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
51,0.0,3,7.0,39.6875,7,6,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
52,0.0,3,21.0,7.8,1,1,1,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
53,1.0,1,49.0,76.7292,3,2,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
54,1.0,2,29.0,26.0,2,2,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
55,0.0,1,65.0,61.9792,2,2,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
56,1.0,1,42.0,35.5,1,1,1,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
57,1.0,2,21.0,10.5,1,1,1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
58,0.0,3,28.5,7.2292,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
59,1.0,2,5.0,27.75,4,4,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
60,0.0,3,11.0,46.9,8,8,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
61,0.0,3,22.0,7.2292,1,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
62,1.0,1,38.0,80.0,2,1,1,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
63,0.0,1,45.0,83.475,2,2,0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
64,0.0,3,4.0,27.9,6,6,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
65,0.0,1,42.0,27.7208,1,1,1,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
